#Latitude:North-South 00~09,..., 80_89 90~99,..., H0~H9
#Longitude:East-West  00~09,..., H0~H9 I0~I9, ..., Z0~Z9
60M0,1.6E+07,1.7E+07,6000000,7000000
60N0,1.5E+07,1.6E+07,6000000,7000000
60O0,1.4E+07,1.5E+07,6000000,7000000
60P0,1.3E+07,1.4E+07,6000000,7000000
60Q0,1.2E+07,1.3E+07,6000000,7000000
60R0,1.1E+07,1.2E+07,6000000,7000000
60S0,1E+07,1.1E+07,6000000,7000000
60T0,9000000,1E+07,6000000,7000000
60U0,8000000,9000000,6000000,7000000
60V0,7000000,8000000,6000000,7000000
60W0,6000000,7000000,6000000,7000000
60X0,5000000,6000000,6000000,7000000
60Y0,4000000,5000000,6000000,7000000
60Z0,3000000,4000000,6000000,7000000
7000,-1.5E+07,-1.4E+07,7000000,8000000
7010,-1.4E+07,-1.3E+07,7000000,8000000
7020,-1.3E+07,-1.2E+07,7000000,8000000
7030,-1.2E+07,-1.1E+07,7000000,8000000
7040,-1.1E+07,-1E+07,7000000,8000000
7050,-1E+07,-9000000,7000000,8000000
7060,-9000000,-8000000,7000000,8000000
7070,-8000000,-7000000,7000000,8000000
7080,-7000000,-6000000,7000000,8000000
7090,-6000000,-5000000,7000000,8000000
70A0,-5000000,-4000000,7000000,8000000
70B0,-4000000,-3000000,7000000,8000000
70C0,-3000000,-2000000,7000000,8000000
70D0,-2000000,-1000000,7000000,8000000
70E0,-1000000,0,7000000,8000000
70F0,0,1000000,7000000,8000000
70G0,1000000,2000000,7000000,8000000
70H0,2000000,3000000,7000000,8000000
70I0,-1.6E+07,-1.5E+07,7000000,8000000
70J0,-1.7E+07,-1.6E+07,7000000,8000000
70K0,-1.8E+07,-1.7E+07,7000000,8000000
70L0,1.7E+07,1.8E+07,7000000,8000000
70M0,1.6E+07,1.7E+07,7000000,8000000
70N0,1.5E+07,1.6E+07,7000000,8000000
70O0,1.4E+07,1.5E+07,7000000,8000000
70P0,1.3E+07,1.4E+07,7000000,8000000
70Q0,1.2E+07,1.3E+07,7000000,8000000
70R0,1.1E+07,1.2E+07,7000000,8000000
70S0,1E+07,1.1E+07,7000000,8000000
70T0,9000000,1E+07,7000000,8000000
70U0,8000000,9000000,7000000,8000000
70V0,7000000,8000000,7000000,8000000
70W0,6000000,7000000,7000000,8000000
70X0,5000000,6000000,7000000,8000000
70Y0,4000000,5000000,7000000,8000000
70Z0,3000000,4000000,7000000,8000000
8000,-1.5E+07,-1.4E+07,8000000,9000000
8010,-1.4E+07,-1.3E+07,8000000,9000000
8020,-1.3E+07,-1.2E+07,8000000,9000000
8030,-1.2E+07,-1.1E+07,8000000,9000000
8040,-1.1E+07,-1E+07,8000000,9000000
8050,-1E+07,-9000000,8000000,9000000
8060,-9000000,-8000000,8000000,9000000
8070,-8000000,-7000000,8000000,9000000
8080,-7000000,-6000000,8000000,9000000
8090,-6000000,-5000000,8000000,9000000
80A0,-5000000,-4000000,8000000,9000000
80B0,-4000000,-3000000,8000000,9000000
80C0,-3000000,-2000000,8000000,9000000
80D0,-2000000,-1000000,8000000,9000000
80E0,-1000000,0,8000000,9000000
80F0,0,1000000,8000000,9000000
80G0,1000000,2000000,8000000,9000000
80H0,2000000,3000000,8000000,9000000
80I0,-1.6E+07,-1.5E+07,8000000,9000000
80J0,-1.7E+07,-1.6E+07,8000000,9000000
80K0,-1.8E+07,-1.7E+07,8000000,9000000
80L0,1.7E+07,1.8E+07,8000000,9000000
80M0,1.6E+07,1.7E+07,8000000,9000000
80N0,1.5E+07,1.6E+07,8000000,9000000
80O0,1.4E+07,1.5E+07,8000000,9000000
80P0,1.3E+07,1.4E+07,8000000,9000000
80Q0,1.2E+07,1.3E+07,8000000,9000000
80R0,1.1E+07,1.2E+07,8000000,9000000
80S0,1E+07,1.1E+07,8000000,9000000
80T0,9000000,1E+07,8000000,9000000
80U0,8000000,9000000,8000000,9000000
80V0,7000000,8000000,8000000,9000000
80W0,6000000,7000000,8000000,9000000
80X0,5000000,6000000,8000000,9000000
80Y0,4000000,5000000,8000000,9000000
80Z0,3000000,4000000,8000000,9000000
9000,-1.5E+07,-1.4E+07,-1000000,0
9010,-1.4E+07,-1.3E+07,-1000000,0
9020,-1.3E+07,-1.2E+07,-1000000,0
9030,-1.2E+07,-1.1E+07,-1000000,0
9040,-1.1E+07,-1E+07,-1000000,0
9050,-1E+07,-9000000,-1000000,0
9060,-9000000,-8000000,-1000000,0
9070,-8000000,-7000000,-1000000,0
9080,-7000000,-6000000,-1000000,0
9090,-6000000,-5000000,-1000000,0
90A0,-5000000,-4000000,-1000000,0
90B0,-4000000,-3000000,-1000000,0
90C0,-3000000,-2000000,-1000000,0
90D0,-2000000,-1000000,-1000000,0
90E0,-1000000,0,-1000000,0
90F0,0,1000000,-1000000,0
90G0,1000000,2000000,-1000000,0
90H0,2000000,3000000,-1000000,0
90I0,-1.6E+07,-1.5E+07,-1000000,0
90J0,-1.7E+07,-1.6E+07,-1000000,0
90K0,-1.8E+07,-1.7E+07,-1000000,0
90L0,1.7E+07,1.8E+07,-1000000,0
90M0,1.6E+07,1.7E+07,-1000000,0
90N0,1.5E+07,1.6E+07,-1000000,0
90O0,1.4E+07,1.5E+07,-1000000,0
90P0,1.3E+07,1.4E+07,-1000000,0
90Q0,1.2E+07,1.3E+07,-1000000,0
90R0,1.1E+07,1.2E+07,-1000000,0
90S0,1E+07,1.1E+07,-1000000,0
90T0,9000000,1E+07,-1000000,0
90U0,8000000,9000000,-1000000,0
90V0,7000000,8000000,-1000000,0
90W0,6000000,7000000,-1000000,0
90X0,5000000,6000000,-1000000,0
90Y0,4000000,5000000,-1000000,0
90Z0,3000000,4000000,-1000000,0
A000,-1.5E+07,-1.4E+07,-2000000,-1000000
A010,-1.4E+07,-1.3E+07,-2000000,-1000000
A020,-1.3E+07,-1.2E+07,-2000000,-1000000
A030,-1.2E+07,-1.1E+07,-2000000,-1000000
A040,-1.1E+07,-1E+07,-2000000,-1000000
A050,-1E+07,-9000000,-2000000,-1000000
A060,-9000000,-8000000,-2000000,-1000000
A070,-8000000,-7000000,-2000000,-1000000
A080,-7000000,-6000000,-2000000,-1000000
A090,-6000000,-5000000,-2000000,-1000000
A0A0,-5000000,-4000000,-2000000,-1000000
A0B0,-4000000,-3000000,-2000000,-1000000
A0C0,-3000000,-2000000,-2000000,-1000000
A0D0,-2000000,-1000000,-2000000,-1000000
A0E0,-1000000,0,-2000000,-1000000
A0F0,0,1000000,-2000000,-1000000
A0G0,1000000,2000000,-2000000,-1000000
A0H0,2000000,3000000,-2000000,-1000000
A0I0,-1.6E+07,-1.5E+07,-2000000,-1000000
A0J0,-1.7E+07,-1.6E+07,-2000000,-1000000
A0K0,-1.8E+07,-1.7E+07,-2000000,-1000000
A0L0,1.7E+07,1.8E+07,-2000000,-1000000
A0M0,1.6E+07,1.7E+07,-2000000,-1000000
A0N0,1.5E+07,1.6E+07,-2000000,-1000000
A0O0,1.4E+07,1.5E+07,-2000000,-1000000
A0P0,1.3E+07,1.4E+07,-2000000,-1000000
A0Q0,1.2E+07,1.3E+07,-2000000,-1000000
A0R0,1.1E+07,1.2E+07,-2000000,-1000000
A0S0,1E+07,1.1E+07,-2000000,-1000000
A0T0,9000000,1E+07,-2000000,-1000000
A0U0,8000000,9000000,-2000000,-1000000
A0V0,7000000,8000000,-2000000,-1000000
A0W0,6000000,7000000,-2000000,-1000000
A0X0,5000000,6000000,-2000000,-1000000
A0Y0,4000000,5000000,-2000000,-1000000
A0Z0,3000000,4000000,-2000000,-1000000
B000,-1.5E+07,-1.4E+07,-3000000,-2000000
B010,-1.4E+07,-1.3E+07,-3000000,-2000000
B020,-1.3E+07,-1.2E+07,-3000000,-2000000
B030,-1.2E+07,-1.1E+07,-3000000,-2000000
B040,-1.1E+07,-1E+07,-3000000,-2000000
B050,-1E+07,-9000000,-3000000,-2000000
B060,-9000000,-8000000,-3000000,-2000000
B070,-8000000,-7000000,-3000000,-2000000
B080,-7000000,-6000000,-3000000,-2000000
B090,-6000000,-5000000,-3000000,-2000000
B0A0,-5000000,-4000000,-3000000,-2000000
B0B0,-4000000,-3000000,-3000000,-2000000
B0C0,-3000000,-2000000,-3000000,-2000000
B0D0,-2000000,-1000000,-3000000,-2000000
B0E0,-1000000,0,-3000000,-2000000
B0F0,0,1000000,-3000000,-2000000
B0G0,1000000,2000000,-3000000,-2000000
B0H0,2000000,3000000,-3000000,-2000000
B0I0,-1.6E+07,-1.5E+07,-3000000,-2000000
B0J0,-1.7E+07,-1.6E+07,-3000000,-2000000
B0K0,-1.8E+07,-1.7E+07,-3000000,-2000000
B0L0,1.7E+07,1.8E+07,-3000000,-2000000
B0M0,1.6E+07,1.7E+07,-3000000,-2000000
B0N0,1.5E+07,1.6E+07,-3000000,-2000000
B0O0,1.4E+07,1.5E+07,-3000000,-2000000
B0P0,1.3E+07,1.4E+07,-3000000,-2000000
B0Q0,1.2E+07,1.3E+07,-3000000,-2000000
B0R0,1.1E+07,1.2E+07,-3000000,-2000000
B0S0,1E+07,1.1E+07,-3000000,-2000000
B0T0,9000000,1E+07,-3000000,-2000000
B0U0,8000000,9000000,-3000000,-2000000
B0V0,7000000,8000000,-3000000,-2000000
B0W0,6000000,7000000,-3000000,-2000000
B0X0,5000000,6000000,-3000000,-2000000
B0Y0,4000000,5000000,-3000000,-2000000
B0Z0,3000000,4000000,-3000000,-2000000
C000,-1.5E+07,-1.4E+07,-4000000,-3000000
C010,-1.4E+07,-1.3E+07,-4000000,-3000000
C020,-1.3E+07,-1.2E+07,-4000000,-3000000
C030,-1.2E+07,-1.1E+07,-4000000,-3000000
C040,-1.1E+07,-1E+07,-4000000,-3000000
C050,-1E+07,-9000000,-4000000,-3000000
C060,-9000000,-8000000,-4000000,-3000000
C070,-8000000,-7000000,-4000000,-3000000
C080,-7000000,-6000000,-4000000,-3000000
C090,-6000000,-5000000,-4000000,-3000000
C0A0,-5000000,-4000000,-4000000,-3000000
C0B0,-4000000,-3000000,-4000000,-3000000
C0C0,-3000000,-2000000,-4000000,-3000000
C0D0,-2000000,-1000000,-4000000,-3000000
C0E0,-1000000,0,-4000000,-3000000
C0F0,0,1000000,-4000000,-3000000
C0G0,1000000,2000000,-4000000,-3000000
C0H0,2000000,3000000,-4000000,-3000000
C0I0,-1.6E+07,-1.5E+07,-4000000,-3000000
C0J0,-1.7E+07,-1.6E+07,-4000000,-3000000
C0K0,-1.8E+07,-1.7E+07,-4000000,-3000000
C0L0,1.7E+07,1.8E+07,-4000000,-3000000
